,EmployerSizeMedian,mean_diff_hourly_percent
5,35000.0,12.981625441696114
3,3000.0,13.458660531697342
0,125.0,13.719825581395348
2,750.0,13.97586548864046
1,350.0,14.19165739148032
4,12500.0,14.475806451612904
