,UK region,mean_diff_hourly_percent
5,Northern Ireland,9.744166666666667
9,Wales,10.059154929577465
6,Scotland,11.858751581611134
3,North East,12.277784974093265
4,North West,12.813088777946604
11,Yorkshire and The Humber,13.154114114114114
10,West Midlands,13.172454048683557
0,East Midlands,13.637922480620157
8,South West,13.655555555555555
1,East of England,14.107141067401653
7,South East,14.687979143179255
2,London,15.702306439942113
